,Timestamp,Values
738,4/24/2020 18,1.511565
739,4/24/2020 19,1.463815
740,4/24/2020 20,1.48769
741,4/24/2020 21,1.463815
742,4/24/2020 22,1.463815
743,4/24/2020 23,1.416065
744,4/25/2020 0,1.48769
745,4/25/2020 1,1.416065
746,4/25/2020 2,1.463815
747,4/25/2020 3,1.463815
748,4/25/2020 4,1.463815
749,4/25/2020 5,1.463815
750,4/25/2020 6,1.463815
751,4/25/2020 7,1.416065
752,4/25/2020 8,1.43994
753,4/25/2020 9,1.43994
754,4/25/2020 10,1.463815
755,4/25/2020 11,1.511565
756,4/25/2020 12,1.58319
757,4/25/2020 13,1.53544
758,4/25/2020 14,1.607065
759,4/25/2020 15,1.559315
760,4/25/2020 16,1.53544
761,4/25/2020 17,1.511565
762,4/25/2020 18,1.48769
763,4/25/2020 19,1.463815
764,4/25/2020 20,1.463815
765,4/25/2020 21,1.511565
766,4/25/2020 22,1.511565
767,4/25/2020 23,1.416065
768,4/26/2020 0,1.48769
769,4/26/2020 1,1.48769
770,4/26/2020 2,1.48769
771,4/26/2020 3,1.48769
772,4/26/2020 4,1.463815
773,4/26/2020 5,1.416065
774,4/26/2020 6,1.416065
775,4/26/2020 7,1.39219
776,4/26/2020 8,1.43994
777,4/26/2020 9,1.463815
778,4/26/2020 10,1.463815
779,4/26/2020 11,1.416065
780,4/26/2020 12,1.43994
781,4/26/2020 13,1.48769
782,4/26/2020 14,1.511565
783,4/26/2020 15,1.43994
784,4/26/2020 16,1.48769
785,4/26/2020 17,1.416065
786,4/26/2020 18,1.463815
787,4/26/2020 19,1.48769
788,4/26/2020 20,1.43994
789,4/26/2020 21,1.48769
790,4/26/2020 22,1.463815
791,4/26/2020 23,1.416065
792,4/27/2020 0,1.48769
793,4/27/2020 1,1.463815
794,4/27/2020 2,1.463815
795,4/27/2020 3,1.48769
796,4/27/2020 4,1.48769
797,4/27/2020 5,1.43994
798,4/27/2020 6,1.43994
799,4/27/2020 7,1.53544
800,4/27/2020 8,1.43994
801,4/27/2020 9,1.463815
802,4/27/2020 10,1.48769
803,4/27/2020 11,1.463815
804,4/27/2020 12,1.559315
805,4/27/2020 13,1.511565
806,4/27/2020 14,1.463815
807,4/27/2020 15,1.53544
808,4/27/2020 16,1.511565
809,4/27/2020 17,1.53544
810,4/27/2020 18,1.416065
811,4/27/2020 19,1.511565
812,4/27/2020 20,1.416065
813,4/27/2020 21,1.48769
814,4/27/2020 22,1.48769
815,4/27/2020 23,1.463815
816,4/28/2020 0,1.463815
817,4/28/2020 1,1.463815
818,4/28/2020 2,1.48769
819,4/28/2020 3,1.39219
820,4/28/2020 4,1.39219
821,4/28/2020 5,1.416065
822,4/28/2020 6,1.48769
823,4/28/2020 7,1.416065
824,4/28/2020 8,1.463815
825,4/28/2020 9,1.48769
826,4/28/2020 10,1.463815
827,4/28/2020 11,1.463815
828,4/28/2020 12,1.48769
829,4/28/2020 13,1.416065
830,4/28/2020 14,1.416065
831,4/28/2020 15,1.48769
832,4/28/2020 16,1.43994
833,4/28/2020 17,1.463815
834,4/28/2020 18,1.416065
835,4/28/2020 19,1.48769
836,4/28/2020 20,1.463815
837,4/28/2020 21,1.416065
838,4/28/2020 22,1.368315
839,4/28/2020 23,1.43994
840,4/29/2020 0,1.39219
841,4/29/2020 1,1.416065
842,4/29/2020 2,1.463815
843,4/29/2020 3,1.463815
844,4/29/2020 4,1.368315
845,4/29/2020 5,1.463815
846,4/29/2020 6,1.416065
847,4/29/2020 7,1.368315
848,4/29/2020 8,1.368315
849,4/29/2020 9,1.416065
850,4/29/2020 0,1.39219
851,4/29/2020 1,1.416065
852,4/29/2020 2,1.463815
853,4/29/2020 3,1.463815
854,4/29/2020 4,1.368315
855,4/29/2020 5,1.463815
856,4/29/2020 6,1.416065
857,4/29/2020 7,1.368315
858,4/29/2020 8,1.368315
859,4/29/2020 9,1.416065
860,4/29/2020 10,1.43994
861,4/29/2020 11,1.416065
862,4/29/2020 12,1.416065
863,4/29/2020 13,1.463815
864,4/29/2020 14,1.48769
865,4/29/2020 15,1.39219
866,4/29/2020 16,1.39219
867,4/29/2020 17,1.511565
